Timestamp,People_Crossing,People_In_Crosswalk_Now,Avg_People_Velocity_Crossing_pixels/sec,People_Waiting,People_In_Waiting_Now,Avg_People_Velocity_Waiting_pixels/sec,Vehicles,Avg_Vehicle_Velocity_pixels/sec,Queued_Vehicles,Label
59:22.8,4,4,13.59719887,4,4,13.59719887,8,76.06512487,1,green
59:23.0,4,4,11.16989958,4,4,11.16989958,8,64.46516912,0,green
59:23.3,4,4,14.84387964,4,4,14.84387964,7,94.78956584,0,green
59:23.5,4,4,19.03405676,4,4,19.03405676,7,104.9177805,0,green
59:23.8,5,5,18.71545642,5,5,18.71545642,6,112.1563269,1,green
59:24.0,5,5,9.15655728,5,5,9.15655728,6,136.0918329,1,green
59:24.3,5,5,42.87477844,5,5,42.87477844,6,104.5650128,1,green
59:24.5,5,5,30.19014578,5,5,30.19014578,8,137.5642503,0,green
59:24.8,5,5,28.50727171,5,5,28.50727171,8,120.2202718,0,green
59:25.0,5,5,20.93805037,5,5,20.93805037,6,74.09059926,0,green
59:25.3,4,4,17.5426029,4,4,17.5426029,7,56.33564928,0,green
59:25.5,5,5,17.45546251,5,5,17.45546251,9,82.61145688,0,green
59:25.9,5,5,29.41777771,5,5,29.41777771,11,82.85354473,1,green
59:26.2,4,4,17.78472754,4,4,17.78472754,9,72.97142055,0,green
59:26.4,4,4,20.45865552,4,4,20.45865552,9,109.528733,0,green
59:26.7,3,3,21.1279306,3,3,21.1279306,7,125.827868,0,green
59:26.9,4,4,11.82484904,4,4,11.82484904,7,113.5402257,1,green
59:27.2,4,4,48.39638312,4,4,48.39638312,7,118.1742142,0,green
59:27.4,4,4,33.78139041,4,4,33.78139041,6,90.01539603,0,green
59:27.7,4,4,12.89689989,4,4,12.89689989,7,98.0989958,0,green
59:27.9,4,4,6.002264776,4,4,6.002264776,7,79.95983711,0,green
59:28.2,4,4,9.028435888,4,4,9.028435888,7,120.9471409,0,green
59:28.4,4,4,17.22510619,4,4,17.22510619,7,117.1272926,0,green
59:28.7,4,4,15.52924368,4,4,15.52924368,6,105.9520058,0,green
59:28.9,4,4,10.75859193,4,4,10.75859193,7,104.1799412,0,green
59:29.2,4,4,10.5342223,4,4,10.5342223,8,145.2884002,0,green
59:29.4,4,4,9.7147107,4,4,9.7147107,8,141.0986603,0,green
59:29.7,4,4,12.89877293,4,4,12.89877293,9,197.0529812,0,green
59:29.9,4,4,10.28561449,4,4,10.28561449,9,161.39634,0,green
59:30.2,4,4,13.5683,4,4,13.5683,8,111.0644593,0,green
59:30.5,4,4,14.36350022,4,4,14.36350022,8,107.2882447,0,green
59:30.7,4,4,17.03955485,4,4,17.03955485,6,134.9952992,0,green
59:30.9,4,4,13.03346328,4,4,13.03346328,6,112.9480546,0,green
59:31.2,4,4,10.24900869,4,4,10.24900869,7,114.4709022,1,green
59:31.5,4,4,28.86041807,4,4,28.86041807,5,175.596777,0,green
59:31.7,4,4,16.257359,4,4,16.257359,4,112.0552758,0,green
59:31.9,4,4,19.46372565,4,4,19.46372565,3,77.39538834,0,green
59:32.2,4,4,12.90365526,4,4,12.90365526,4,88.59186975,0,green
59:32.4,4,4,10.17225339,4,4,10.17225339,4,49.91228376,0,green
59:32.7,5,5,14.49699973,5,5,14.49699973,3,66.29557454,0,green
59:32.9,5,5,15.16062569,5,5,15.16062569,3,78.67584116,0,green
59:33.2,5,5,22.42653336,5,5,22.42653336,3,133.9810386,0,green
59:33.4,5,5,14.21766524,5,5,14.21766524,2,140.901634,0,green
59:33.7,5,5,21.81645254,5,5,21.81645254,2,142.3246074,0,green
59:33.9,5,5,21.12221295,5,5,21.12221295,2,138.7916645,0,green
59:34.1,5,5,24.20867057,5,5,24.20867057,2,51.34786233,0,green
59:34.4,4,4,27.07446386,4,4,27.07446386,2,46.75672818,0,green
59:34.6,4,4,24.90636927,4,4,24.90636927,2,31.68203319,1,green
59:34.9,4,4,27.06989441,4,4,27.06989441,2,48.53156862,0,green
59:35.1,4,4,14.33805571,4,4,14.33805571,3,39.2297917,0,green
59:35.4,4,4,25.82711661,4,4,25.82711661,3,44.70181547,0,green
59:35.6,4,4,23.1934412,4,4,23.1934412,3,49.00292943,0,green
